fusion,variant,replicates,coda_correspondence,fused_ms,fused_mapping,unfused_total_ms,speedup,n_unfused_kernels,unfused_k1_name,unfused_k1_ms,unfused_k1_mapping,unfused_k2_name,unfused_k2_ms,unfused_k2_mapping,unfused_k3_name,unfused_k3_ms,unfused_k3_mapping,notes
#1 o_proj + ResAdd,triton,"vendor cuBLAS-equivalent epilogue (torch.addmm, beta=1)",yes - GEMM + residual-add epilogue,33.4172,BM128 BN64 BK32 GM8 SK1 w4 s3,33.8995,1.0144,2,o_proj GEMM,,BM64 BN64 BK32 GM8 SK1 w2 s4,residual add (elementwise),,,,,,
#3 ResAdd + RMSNorm,-,sglang fused_add_rmsnorm,no - no GEMM involved,0.7004,BN4096 ROWS1 w2 s2,0.7526,1.0746,2,residual add,0.5263,BN8192 ROWS1 EVICT1 w4 s2,rmsnorm,0.3471,BN2048 ROWS2 w4 s1,,,,
#5 RMSNorm + Router,F5,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.8806,BM64 BK64 BE128 w4 s2,0.9359,1.0628,2,rmsnorm (or add+rmsnorm),,,router GEMM (fp32),,,,,,
#5 RMSNorm + Router + TopK,F5_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",0.9882,BM32 BK32 BE256 NBK256 w4 s1,1.022,1.0342,2,rmsnorm (or add+rmsnorm),,,router GEMM (fp32),,,,,,
#4 ResAdd + RMSNorm + Router,F4,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",1.2882,BM32 BK64 BE64 w8 s2,1.2902,1.0016,2,rmsnorm (or add+rmsnorm),,,router GEMM (fp32),,,,,,
#4 ResAdd + RMSNorm + Router + TopK,F4_topk,none (custom); router semantics follow sglang biased_grouped_topk,"no - fuses the GEMM INTO the norm kernel, the inverse of CODA's GEMM+epilogue direction",1.3189,BM32 BK32 BE256 w4 s3,1.3691,1.038,2,rmsnorm (or add+rmsnorm),,,router GEMM (fp32),,,,,,
#10 Expert Merge + ResAdd,-,sglang moe_sum + residual add,no - no GEMM involved,1.6159,BN256 ROWS16 UNROLL1 EVICT1 w8 s1,1.7582,1.0881,2,expert merge (moe_sum),1.4551,,residual add,0.5274,,,,,
#11b Lazy Pre-Norm -> router GEMM,lazy pre-norm (prologue),PyTorch/Meta 'Towards Free Normalization' (Zhou et al. 2026) S2,partial - prologue fusion; CODA is epilogue-oriented,0.6349,BM32 BN128 BK32 GM8 w2 s3,0.896,1.4113,2,rmsnorm (writes x2),0.3348,BN8192 ROWS1 w16 s1,router GEMM,0.5663,BM32 BN64 BK64 GM8 w4 s3,,,,sum-of-squares redundancy 2x; valid only if ALL K=6144 consumers are fused (x2 never materialised)
#11b' half-fused pre-norm -> router GEMM,rstd + epilogue scale,none (custom; derived from Lazy Pre-Norm),"yes - GEMM + scale epilogue, reduction kept outside",0.7854,rstd: BN2048 ROWS1 w2 s2 | gemm: BM32 BN64 BK64 GM4 w4 s3,0.896,1.1408,2,rmsnorm (writes x2),0.3348,,router GEMM,0.5663,,,,,"fused side is itself 2 kernels (rstd 0.2120 ms + GEMM); router-only. EXPLORATORY, not the headline: rstd from a tiny reduction kernel, applied as a pure epilogue scale. 2 activation passes vs the unfused side's 3 and the fused side's 1; GEMM k-loop identical to unfused."
