regime,fusion_set,config_id,run1_ms,run2_ms,best_ms,speedup_vs_unfused,tied_with_best_run1,tied_with_best_run2,notes
decode_bs8,#9,G_f9,1.2217,1.2218,1.2217,1.0061,0,0,
decode_bs8,#4,M_f4,1.2228,1.2227,1.2227,1.0053,0,0,
decode_bs8,#8,F_f8,1.2234,1.2235,1.2234,1.0048,0,0,
decode_bs8,#6,D_f6,1.2247,1.2248,1.2247,1.0036,0,0,
decode_bs8,#10,E_f10,1.2255,1.2253,1.2253,1.0032,0,0,
decode_bs8,none (all unfused),A_all_unfused,1.2292,1.2292,1.2292,1.0000,0,0,
decode_bs8,#5,L_f5,1.2308,1.2312,1.2308,0.9987,0,0,
decode_bs8,#11b,N_f11b,1.2400,1.2398,1.2398,0.9915,0,0,"contains #11b, which DOES pass the strict invariance screen at every regime in results/h200/f11_publish.json. This layer number is a whole-layer measurement from the earlier contended run (42.19 us harness floor), not the #11b microbenchmark ratio -- the microbenchmark's decode wall figures are blocked for exceeding their own launch-aware ceiling, and its published win is prefill-only"
decode_bs16,#1+#6+#9 (greedy),J_greedy_all,1.9539,1.9532,1.9532,1.0185,1,1,
decode_bs16,#1,C_f1,1.9705,1.9700,1.9700,1.0098,0,0,
decode_bs16,#3 + #9,I_f3_f9,1.9753,1.9751,1.9751,1.0072,0,0,
decode_bs16,#9,G_f9,1.9787,1.9792,1.9787,1.0054,0,0,
decode_bs16,#3 + #10,H_f3_f10,1.9789,1.9788,1.9788,1.0053,0,0,
decode_bs16,#10,E_f10,1.9800,1.9794,1.9794,1.0050,0,0,
decode_bs16,#6,D_f6,1.9823,1.9825,1.9823,1.0036,0,0,
decode_bs16,#3 + #8,K_f3_f8,1.9865,1.9863,1.9863,1.0015,0,0,
decode_bs16,#3,B_f3,1.9870,1.9871,1.9870,1.0012,0,0,
decode_bs16,#8,F_f8,1.9884,1.9880,1.9880,1.0007,0,0,
decode_bs16,none (all unfused),A_all_unfused,1.9898,1.9893,1.9893,1.0000,0,0,
decode_bs16,#4,M_f4,1.9944,1.9937,1.9937,0.9978,0,0,
decode_bs16,#11b,N_f11b,1.9989,1.9985,1.9985,0.9954,0,0,"contains #11b, which DOES pass the strict invariance screen at every regime in results/h200/f11_publish.json. This layer number is a whole-layer measurement from the earlier contended run (42.19 us harness floor), not the #11b microbenchmark ratio -- the microbenchmark's decode wall figures are blocked for exceeding their own launch-aware ceiling, and its published win is prefill-only"
decode_bs16,#5,L_f5,2.0018,2.0016,2.0016,0.9939,0,0,
decode_bs32,#3 + #10,H_f3_f10,2.9040,2.9044,2.9040,1.0090,1,1,
decode_bs32,#3 + #9,I_f3_f9,2.9049,2.9056,2.9049,1.0087,1,1,
decode_bs32,#3,B_f3,2.9071,2.9067,2.9067,1.0081,1,0,
decode_bs32,#1+#6+#9 (greedy),J_greedy_all,2.9071,2.9079,2.9071,1.0079,1,0,
decode_bs32,#3 + #8,K_f3_f8,2.9085,2.9090,2.9085,1.0074,0,0,
decode_bs32,#1,C_f1,2.9092,2.9108,2.9092,1.0072,0,0,
decode_bs32,#4,M_f4,2.9113,2.9118,2.9113,1.0065,0,0,
decode_bs32,#5,L_f5,2.9229,2.9229,2.9229,1.0025,0,0,
decode_bs32,#10,E_f10,2.9263,2.9266,2.9263,1.0013,0,0,
decode_bs32,#9,G_f9,2.9296,2.9291,2.9291,1.0003,0,0,
decode_bs32,#6,D_f6,2.9296,2.9307,2.9296,1.0002,0,0,
decode_bs32,none (all unfused),A_all_unfused,2.9301,2.9313,2.9301,1.0000,0,0,
decode_bs32,#8,F_f8,2.9316,2.9321,2.9316,0.9995,0,0,
decode_bs32,#11b,N_f11b,2.9321,2.9333,2.9321,0.9993,0,0,"contains #11b, which DOES pass the strict invariance screen at every regime in results/h200/f11_publish.json. This layer number is a whole-layer measurement from the earlier contended run (42.19 us harness floor), not the #11b microbenchmark ratio -- the microbenchmark's decode wall figures are blocked for exceeding their own launch-aware ceiling, and its published win is prefill-only"
decode_bs256,#1+#6+#9 (greedy),J_greedy_all,4.5699,4.5780,4.5699,1.0122,1,1,
decode_bs256,#6,D_f6,4.5892,4.5948,4.5892,1.0079,0,0,
decode_bs256,#3 + #9,I_f3_f9,4.6141,4.6182,4.6141,1.0025,0,0,
decode_bs256,#9,G_f9,4.6165,4.6173,4.6165,1.0020,0,0,
decode_bs256,#3 + #10,H_f3_f10,4.6192,4.6188,4.6188,1.0015,0,0,
decode_bs256,#3 + #8,K_f3_f8,4.6196,4.6237,4.6196,1.0013,0,0,
decode_bs256,#1,C_f1,4.6201,4.6210,4.6201,1.0012,0,0,
decode_bs256,#10,E_f10,4.6232,4.6233,4.6232,1.0005,0,0,
decode_bs256,#3,B_f3,4.6239,4.6242,4.6239,1.0004,0,0,
decode_bs256,#8,F_f8,4.6243,4.6258,4.6243,1.0003,0,0,
decode_bs256,none (all unfused),A_all_unfused,4.6256,4.6285,4.6256,1.0000,0,0,
decode_bs256,#11b,N_f11b,4.6378,4.6373,4.6373,0.9975,0,0,"contains #11b, which DOES pass the strict invariance screen at every regime in results/h200/f11_publish.json. This layer number is a whole-layer measurement from the earlier contended run (42.19 us harness floor), not the #11b microbenchmark ratio -- the microbenchmark's decode wall figures are blocked for exceeding their own launch-aware ceiling, and its published win is prefill-only"
decode_bs256,#5,L_f5,4.6457,4.6470,4.6457,0.9957,0,0,
decode_bs256,#4,M_f4,4.6508,4.6519,4.6508,0.9946,0,0,
decode_bs512,#6,D_f6,4.8290,4.8435,4.8290,1.0107,1,1,
decode_bs512,#1+#6+#9 (greedy),J_greedy_all,4.8345,4.8433,4.8345,1.0096,1,1,
decode_bs512,#1,C_f1,4.8622,4.8741,4.8622,1.0038,1,1,
