c500_chain_ms,c500_fused_ms,c500_gain,c500_pub_gain,c500_pub_is_fused_winner,c500_pub_is_unfused_winner,c500_swiglu_act_ms,chain_note,family,fused_mapping,h200_chain_ms,h200_fused_ms,h200_gain,h200_pub_gain,h200_pub_is_fused_winner,h200_pub_is_unfused_winner,h200_swiglu_act_ms,pathological,regime,unfused_mapping
0.3653120119124651,0.4183039963245392,0.8733170496153699,0.9874100804155609,False,False,0.015359999611973763,,f06,BLOCK_M16_BLOCK_N32_BLOCK_K128_GROUP_M8_num_warps4_num_stages2,0.11484799720346928,0.10719999670982361,1.0713432903766575,1.0339345503165458,False,False,0.00559999980032444,0,decode_bs1,BLOCK_M32_BLOCK_N32_BLOCK_K128_GROUP_M8_num_warps2_num_stages2
0.6812160033732653,0.4183039963245392,1.6285189942214826,0.9874100804155609,False,False,0.015359999611973763,,f06,BLOCK_M16_BLOCK_N32_BLOCK_K128_GROUP_M8_num_warps4_num_stages2,0.24355199374258518,0.10719999670982361,2.2719403098663205,1.0339345503165458,False,False,0.00559999980032444,1,decode_bs1,BLOCK_M128_BLOCK_N64_BLOCK_K32_GROUP_M8_num_warps2_num_stages2
0.8842239994555712,0.4183039963245392,2.113831106623113,0.9874100804155609,False,False,0.015359999611973763,,f06,BLOCK_M16_BLOCK_N32_BLOCK_K128_GROUP_M8_num_warps4_num_stages2,0.22585600055754185,0.10719999670982361,2.1068657415065464,1.0339345503165458,False,False,0.00559999980032444,1,decode_bs1,BLOCK_M16_BLOCK_N64_BLOCK_K32_GROUP_M8_num_warps4_num_stages2
0.8867840189486742,0.4183039963245392,2.119951104317605,0.9874100804155609,False,False,0.015359999611973763,,f06,BLOCK_M16_BLOCK_N32_BLOCK_K128_GROUP_M8_num_warps4_num_stages2,0.2304640058428049,0.10719999670982361,2.149850866755536,1.0339345503165458,False,False,0.00559999980032444,1,decode_bs1,BLOCK_M32_BLOCK_N64_BLOCK_K32_GROUP_M8_num_warps2_num_stages2
1.4758399743586779,0.4183039963245392,3.5281517444878876,0.9874100804155609,False,False,0.015359999611973763,,f06,BLOCK_M16_BLOCK_N32_BLOCK_K128_GROUP_M8_num_warps4_num_stages2,0.18662399984896183,0.10719999670982361,1.740895574410591,1.0339345503165458,False,False,0.00559999980032444,1,decode_bs1,BLOCK_M64_BLOCK_N128_BLOCK_K32_GROUP_M8_num_warps2_num_stages3
0.5386239904910326,0.4183039963245392,1.2876376874801447,0.9874100804155609,False,False,0.015359999611973763,,f06,BLOCK_M16_BLOCK_N32_BLOCK_K128_GROUP_M8_num_warps4_num_stages2,0.2267840001732111,0.10719999670982361,2.115522454604973,1.0339345503165458,False,False,0.00559999980032444,1,decode_bs1,BLOCK_M64_BLOCK_N64_BLOCK_K32_GROUP_M8_num_warps4_num_stages2
0.3937279898673296,0.4183039963245392,0.9412484540593716,0.9874100804155609,False,False,0.015359999611973763,,f06,BLOCK_M16_BLOCK_N32_BLOCK_K128_GROUP_M8_num_warps4_num_stages2,0.15206400491297245,0.10719999670982361,1.4185075520532884,1.0339345503165458,False,False,0.00559999980032444,0,decode_bs1,BLOCK_M64_BLOCK_N64_BLOCK_K32_GROUP_M8_num_warps8_num_stages3
0.9008640069514513,0.4183039963245392,2.153610806654881,0.9874100804155609,False,False,0.015359999611973763,,f06,BLOCK_M16_BLOCK_N32_BLOCK_K128_GROUP_M8_num_warps4_num_stages2,0.20543999411165714,0.10719999670982361,1.916417914337781,1.0339345503165458,False,False,0.00559999980032444,1,decode_bs1,BLOCK_M128_BLOCK_N32_BLOCK_K64_GROUP_M8_num_warps8_num_stages3
0.4011519867926836,0.4183039963245392,0.9589963048821837,0.9874100804155609,False,False,0.015359999611973763,,f06,BLOCK_M16_BLOCK_N32_BLOCK_K128_GROUP_M8_num_warps4_num_stages2,0.15315199829638004,0.10719999670982361,1.428656744374186,1.0339345503165458,False,False,0.00559999980032444,0,decode_bs1,BLOCK_M64_BLOCK_N128_BLOCK_K64_GROUP_M8_num_warps16_num_stages2
0.5601279754191637,0.4183039963245392,1.339045240640233,0.9874100804155609,False,False,0.015359999611973763,,f06,BLOCK_M16_BLOCK_N32_BLOCK_K128_GROUP_M8_num_warps4_num_stages2,0.162815997377038,0.10719999670982361,1.518805992296433,1.0339345503165458,False,False,0.00559999980032444,1,decode_bs1,BLOCK_M64_BLOCK_N32_BLOCK_K64_GROUP_M8_num_warps2_num_stages2
